account_id,account_number_masked,bank_name,person_id,city,currency
ACC_0257,XX000257,Bank of Baroda,SYN_P_0257,Ahmedabad,INR
ACC_0258,XX000258,ICICI Bank,SYN_P_0258,Ranchi,INR
ACC_0259,XX000259,HDFC Bank,SYN_P_0259,Chennai,INR
ACC_0260,XX000260,Axis Bank,SYN_P_0260,Bengaluru,INR
ACC_0261,XX000261,Bank of Baroda,SYN_P_0261,Chennai,INR
ACC_0262,XX000262,ICICI Bank,SYN_P_0262,Patna,INR
ACC_0263,XX000263,ICICI Bank,SYN_P_0263,Jaipur,INR
ACC_0264,XX000264,Punjab National Bank,SYN_P_0264,Chandigarh,INR
ACC_0265,XX000265,ICICI Bank,SYN_P_0265,Patna,INR
ACC_0266,XX000266,Bank of Baroda,SYN_P_0266,Bhopal,INR
ACC_0267,XX000267,HDFC Bank,SYN_P_0267,Ghaziabad,INR
ACC_0268,XX000268,Punjab National Bank,SYN_P_0268,Hyderabad,INR
ACC_0269,XX000269,ICICI Bank,SYN_P_0269,Surat,INR
ACC_0270,XX000270,ICICI Bank,SYN_P_0270,Hyderabad,INR
ACC_0271,XX000271,Bank of Baroda,SYN_P_0271,Ranchi,INR
ACC_0272,XX000272,Punjab National Bank,SYN_P_0272,Pune,INR
ACC_0273,XX000273,Punjab National Bank,SYN_P_0273,Ghaziabad,INR
ACC_0274,XX000274,State Bank of India,SYN_P_0274,Kolkata,INR
ACC_0275,XX000275,State Bank of India,SYN_P_0275,Meerut,INR
ACC_0276,XX000276,ICICI Bank,SYN_P_0276,Noida,INR
ACC_0277,XX000277,Axis Bank,SYN_P_0277,Chennai,INR
ACC_0278,XX000278,Bank of Baroda,SYN_P_0278,Hyderabad,INR
ACC_0279,XX000279,Punjab National Bank,SYN_P_0279,Jaipur,INR
ACC_0280,XX000280,Axis Bank,SYN_P_0280,Kolkata,INR
ACC_0281,XX000281,ICICI Bank,SYN_P_0281,Chennai,INR
ACC_0282,XX000282,State Bank of India,SYN_P_0282,Lucknow,INR
ACC_0283,XX000283,HDFC Bank,SYN_P_0283,Kanpur,INR
ACC_0284,XX000284,HDFC Bank,SYN_P_0284,Mumbai,INR
ACC_0285,XX000285,Punjab National Bank,SYN_P_0285,Hyderabad,INR
ACC_0286,XX000286,HDFC Bank,SYN_P_0286,Surat,INR
ACC_0287,XX000287,ICICI Bank,SYN_P_0287,Meerut,INR
ACC_0288,XX000288,Bank of Baroda,SYN_P_0288,Patna,INR
ACC_0289,XX000289,Punjab National Bank,SYN_P_0289,Jaipur,INR
ACC_0290,XX000290,HDFC Bank,SYN_P_0290,Ranchi,INR
ACC_0291,XX000291,State Bank of India,SYN_P_0291,Kolkata,INR
ACC_0292,XX000292,ICICI Bank,SYN_P_0292,Bengaluru,INR
ACC_0293,XX000293,Bank of Baroda,SYN_P_0293,Ghaziabad,INR
ACC_0294,XX000294,HDFC Bank,SYN_P_0294,Hyderabad,INR
ACC_0295,XX000295,State Bank of India,SYN_P_0295,Surat,INR
ACC_0296,XX000296,HDFC Bank,SYN_P_0296,Noida,INR
ACC_0297,XX000297,Bank of Baroda,SYN_P_0297,Surat,INR
ACC_0298,XX000298,Axis Bank,SYN_P_0298,Lucknow,INR
ACC_0299,XX000299,Bank of Baroda,SYN_P_0299,Hyderabad,INR
ACC_0300,XX000300,Axis Bank,SYN_P_0300,Ahmedabad,INR
ACC_0301,XX000301,State Bank of India,SYN_P_0301,Surat,INR
ACC_0302,XX000302,State Bank of India,SYN_P_0302,Kolkata,INR
ACC_0303,XX000303,Axis Bank,SYN_P_0303,Noida,INR
ACC_0304,XX000304,State Bank of India,SYN_P_0304,Chennai,INR
ACC_0305,XX000305,ICICI Bank,SYN_P_0305,Surat,INR
ACC_0306,XX000306,ICICI Bank,SYN_P_0306,Patna,INR
ACC_0307,XX000307,Punjab National Bank,SYN_P_0307,Haridwar,INR
ACC_0308,XX000308,Axis Bank,SYN_P_0308,Bhubaneswar,INR
ACC_0309,XX000309,ICICI Bank,SYN_P_0309,Delhi,INR
ACC_0310,XX000310,State Bank of India,SYN_P_0310,Nagpur,INR
ACC_0311,XX000311,State Bank of India,SYN_P_0311,Dehradun,INR
ACC_0312,XX000312,ICICI Bank,SYN_P_0312,Delhi,INR
ACC_0313,XX000313,Punjab National Bank,SYN_P_0313,Bhubaneswar,INR
ACC_0314,XX000314,Axis Bank,SYN_P_0314,Jaipur,INR
ACC_0315,XX000315,Axis Bank,SYN_P_0315,Kolkata,INR
ACC_0316,XX000316,State Bank of India,SYN_P_0316,Ghaziabad,INR
ACC_0317,XX000317,Axis Bank,SYN_P_0317,Noida,INR
ACC_0318,XX000318,Axis Bank,SYN_P_0318,Ahmedabad,INR
ACC_0319,XX000319,Axis Bank,SYN_P_0319,Pune,INR
ACC_0320,XX000320,State Bank of India,SYN_P_0320,Ranchi,INR
ACC_0321,XX000321,HDFC Bank,SYN_P_0321,Ghaziabad,INR
ACC_0322,XX000322,HDFC Bank,SYN_P_0322,Chennai,INR
ACC_0323,XX000323,Axis Bank,SYN_P_0323,Noida,INR
ACC_0324,XX000324,HDFC Bank,SYN_P_0324,Ghaziabad,INR
ACC_0325,XX000325,Bank of Baroda,SYN_P_0325,Bengaluru,INR
ACC_0326,XX000326,Axis Bank,SYN_P_0326,Noida,INR
ACC_0327,XX000327,Punjab National Bank,SYN_P_0327,Haridwar,INR
ACC_0328,XX000328,State Bank of India,SYN_P_0328,Ahmedabad,INR
ACC_0329,XX000329,Bank of Baroda,SYN_P_0329,Kanpur,INR
ACC_0330,XX000330,ICICI Bank,SYN_P_0330,Lucknow,INR
ACC_0331,XX000331,State Bank of India,SYN_P_0331,Indore,INR
ACC_0332,XX000332,Punjab National Bank,SYN_P_0332,Bhubaneswar,INR
ACC_0333,XX000333,ICICI Bank,SYN_P_0333,Indore,INR
ACC_0334,XX000334,State Bank of India,SYN_P_0334,Ahmedabad,INR
ACC_0335,XX000335,Punjab National Bank,SYN_P_0335,Pune,INR
ACC_0336,XX000336,ICICI Bank,SYN_P_0336,Nagpur,INR
ACC_0337,XX000337,ICICI Bank,SYN_P_0337,Surat,INR
ACC_0338,XX000338,Punjab National Bank,SYN_P_0338,Nagpur,INR
ACC_0339,XX000339,HDFC Bank,SYN_P_0339,Nagpur,INR
ACC_0340,XX000340,State Bank of India,SYN_P_0340,Ghaziabad,INR
ACC_0341,XX000341,ICICI Bank,SYN_P_0341,Patna,INR
ACC_0342,XX000342,Bank of Baroda,SYN_P_0342,Patna,INR
ACC_0343,XX000343,Punjab National Bank,SYN_P_0343,Chennai,INR
ACC_0344,XX000344,Axis Bank,SYN_P_0344,Lucknow,INR
ACC_0345,XX000345,Axis Bank,SYN_P_0345,Indore,INR
ACC_0346,XX000346,Bank of Baroda,SYN_P_0346,Pune,INR
ACC_0347,XX000347,Bank of Baroda,SYN_P_0347,Meerut,INR
ACC_0348,XX000348,State Bank of India,SYN_P_0348,Kanpur,INR
ACC_0349,XX000349,State Bank of India,SYN_P_0349,Chennai,INR
ACC_0350,XX000350,Punjab National Bank,SYN_P_0350,Nagpur,INR
ACC_0351,XX000351,Axis Bank,SYN_P_0351,Hyderabad,INR
ACC_0352,XX000352,Bank of Baroda,SYN_P_0352,Lucknow,INR
ACC_0353,XX000353,Bank of Baroda,SYN_P_0353,Bhubaneswar,INR
ACC_0354,XX000354,ICICI Bank,SYN_P_0354,Chandigarh,INR
ACC_0355,XX000355,Punjab National Bank,SYN_P_0355,Delhi,INR
ACC_0356,XX000356,Axis Bank,SYN_P_0356,Delhi,INR
ACC_0357,XX000357,Axis Bank,SYN_P_0357,Haridwar,INR
ACC_0358,XX000358,Punjab National Bank,SYN_P_0358,Surat,INR
ACC_0359,XX000359,Bank of Baroda,SYN_P_0359,Patna,INR
ACC_0360,XX000360,Punjab National Bank,SYN_P_0360,Bhubaneswar,INR
ACC_0361,XX000361,Punjab National Bank,SYN_P_0361,Chennai,INR
ACC_0362,XX000362,ICICI Bank,SYN_P_0362,Ahmedabad,INR
ACC_0363,XX000363,HDFC Bank,SYN_P_0363,Chennai,INR
ACC_0364,XX000364,Axis Bank,SYN_P_0364,Nagpur,INR
ACC_0365,XX000365,Axis Bank,SYN_P_0365,Chandigarh,INR
ACC_0366,XX000366,Bank of Baroda,SYN_P_0366,Chandigarh,INR
ACC_0367,XX000367,HDFC Bank,SYN_P_0367,Surat,INR
ACC_0368,XX000368,HDFC Bank,SYN_P_0368,Pune,INR
