vehicle_id,registration_number,make,model,owner_person_id
VEH_0258,MP72CG9877,Honda,Seltos,SYN_P_0109
VEH_0259,WB67GY8796,Honda,Swift,SYN_P_0247
VEH_0260,MP69FA5504,Kia,Creta,SYN_P_0503
VEH_0261,BR75OC9741,Honda,Nexon,SYN_P_0823
VEH_0262,WB06PA6569,Mahindra,Creta,SYN_P_0850
VEH_0263,DL68KM5213,Maruti Suzuki,Swift,SYN_P_0204
VEH_0264,TN22JE3992,Tata,Seltos,SYN_P_0184
VEH_0265,UK40NV3772,Maruti Suzuki,City,SYN_P_0667
VEH_0266,UK04WB5882,Mahindra,Swift,SYN_P_0656
VEH_0267,UK53KI7152,Kia,Swift,SYN_P_0107
VEH_0268,RJ31YT4874,Mahindra,City,SYN_P_1034
VEH_0269,KA15IB6215,Mahindra,City,SYN_P_0834
VEH_0270,UP62AN4829,Maruti Suzuki,Nexon,SYN_P_0208
VEH_0271,RJ98RU3057,Tata,City,SYN_P_0834
VEH_0272,TS11UQ4333,Kia,Creta,SYN_P_0765
VEH_0273,TN22ZH9806,Mahindra,City,SYN_P_0926
VEH_0274,DL01OT5739,Toyota,Creta,SYN_P_0002
VEH_0275,DL62IT5110,Kia,Innova,SYN_P_0779
VEH_0276,GJ81GS9361,Tata,Swift,SYN_P_0331
VEH_0277,BR69SC5925,Maruti Suzuki,Bolero,SYN_P_0252
VEH_0278,UK93RI8077,Hyundai,City,SYN_P_1034
VEH_0279,GJ88KU5282,Kia,Innova,SYN_P_0928
VEH_0280,MH32VK6597,Hyundai,Bolero,SYN_P_0673
VEH_0281,DL89EU1033,Honda,Bolero,SYN_P_0009
VEH_0282,DL87FN9011,Kia,Bolero,SYN_P_0167
VEH_0283,MP84CR1507,Kia,Seltos,SYN_P_0912
VEH_0284,MP16LM6864,Mahindra,Creta,SYN_P_0018
VEH_0285,UP60LG8283,Maruti Suzuki,Creta,SYN_P_0041
VEH_0286,MH88WL4137,Maruti Suzuki,Seltos,SYN_P_0621
VEH_0287,BR29HP6947,Maruti Suzuki,Nexon,SYN_P_1010
VEH_0288,BR91TG1116,Hyundai,Seltos,SYN_P_0812
VEH_0289,UP36SQ9093,Hyundai,City,SYN_P_0397
VEH_0290,MP95SV3875,Maruti Suzuki,City,SYN_P_0263
VEH_0291,BR09EI4734,Honda,Innova,SYN_P_0562
VEH_0292,RJ87AW9731,Honda,Nexon,SYN_P_0930
VEH_0293,DL55UV1849,Kia,Nexon,SYN_P_0886
VEH_0294,KA36DV9491,Mahindra,Bolero,SYN_P_0741
VEH_0295,TN98BX4678,Maruti Suzuki,Nexon,SYN_P_0861
VEH_0296,TN58KA7420,Hyundai,Nexon,SYN_P_0168
VEH_0297,WB04XH7943,Maruti Suzuki,Creta,SYN_P_0404
VEH_0298,UK43JC2584,Maruti Suzuki,Bolero,SYN_P_0885
VEH_0299,DL76ZU6477,Kia,Nexon,SYN_P_0507
VEH_0300,UP61HK1891,Kia,Nexon,SYN_P_0485
VEH_0301,UP77TO2567,Toyota,Bolero,SYN_P_0256
VEH_0302,UP08BM6132,Kia,Innova,SYN_P_0134
VEH_0303,UK08ZO1897,Tata,City,SYN_P_0885
VEH_0304,UP14VB1855,Tata,Seltos,SYN_P_0782
VEH_0305,KA13TY7735,Hyundai,Seltos,SYN_P_0022
VEH_0306,TS50OZ8014,Honda,City,SYN_P_0208
VEH_0307,GJ84VZ1425,Mahindra,City,SYN_P_0673
VEH_0308,WB25DD1201,Honda,Innova,SYN_P_0139
VEH_0309,WB25SE9337,Tata,Nexon,SYN_P_0863
VEH_0310,TS93TO4046,Hyundai,Creta,SYN_P_0091
VEH_0311,DL17JS8140,Honda,Innova,SYN_P_0733
VEH_0312,MH75RY3385,Hyundai,Bolero,SYN_P_0633
VEH_0313,WB44JL1132,Honda,City,SYN_P_0297
VEH_0314,DL31QR1894,Mahindra,Nexon,SYN_P_0401
VEH_0315,RJ82GZ2120,Tata,Creta,SYN_P_0975
VEH_0316,BR89OT6425,Kia,City,SYN_P_0688
VEH_0317,WB39NK3658,Maruti Suzuki,Bolero,SYN_P_0087
VEH_0318,TS29AU4654,Toyota,Creta,SYN_P_0956
VEH_0319,WB28HP6431,Kia,Innova,SYN_P_0770
VEH_0320,RJ52FA6944,Maruti Suzuki,Swift,SYN_P_0733
VEH_0321,DL72DE5760,Mahindra,Creta,SYN_P_0738
VEH_0322,DL04GG5654,Hyundai,Creta,SYN_P_0537
VEH_0323,BR23KR5029,Hyundai,Creta,SYN_P_0045
VEH_0324,UK34DA3248,Mahindra,Innova,SYN_P_0228
VEH_0325,GJ27JO4934,Tata,Seltos,SYN_P_0763
VEH_0326,MP22QZ8106,Toyota,Swift,SYN_P_0243
VEH_0327,UK17ZG4140,Honda,Bolero,SYN_P_0767
VEH_0328,GJ77NU5006,Maruti Suzuki,Seltos,SYN_P_0388
VEH_0329,TN38ZE6368,Hyundai,Swift,SYN_P_0574
VEH_0330,UK66SP4428,Toyota,Swift,SYN_P_0964
VEH_0331,MP79CF9333,Mahindra,Seltos,SYN_P_0767
VEH_0332,TS67OF6272,Toyota,Nexon,SYN_P_0990
VEH_0333,BR64PI7569,Toyota,Seltos,SYN_P_0075
VEH_0334,RJ29GO4840,Mahindra,Creta,SYN_P_0627
VEH_0335,KA49SF7129,Tata,City,SYN_P_0174
VEH_0336,UK97CJ8282,Honda,Nexon,SYN_P_0472
VEH_0337,WB06OQ6511,Mahindra,Bolero,SYN_P_0958
VEH_0338,KA53LZ9151,Tata,Nexon,SYN_P_0784
VEH_0339,DL23OH5351,Toyota,Swift,SYN_P_0736
VEH_0340,UP38QQ9956,Toyota,Swift,SYN_P_0567
VEH_0341,RJ13DC6902,Maruti Suzuki,City,SYN_P_0411
VEH_0342,GJ26VK5096,Tata,Innova,SYN_P_0563
VEH_0343,RJ91TE9898,Tata,Swift,SYN_P_0614
VEH_0344,MH45ZM7647,Kia,City,SYN_P_0025
VEH_0345,TS84QY3445,Kia,Bolero,SYN_P_0467
VEH_0346,RJ93XG8773,Hyundai,City,SYN_P_0960
VEH_0347,BR60KZ2406,Tata,Seltos,SYN_P_0385
VEH_0348,KA99WN4433,Mahindra,Bolero,SYN_P_0062
VEH_0349,GJ18SE6006,Toyota,Swift,SYN_P_1024
VEH_0350,MP46KH7867,Mahindra,Innova,SYN_P_0827
VEH_0351,BR69JK1380,Honda,Seltos,SYN_P_0066
VEH_0352,UK20KS7404,Mahindra,Creta,SYN_P_0801
VEH_0353,UP69MG8778,Maruti Suzuki,Nexon,SYN_P_0925
VEH_0354,MP39CF2709,Toyota,City,SYN_P_0364
VEH_0355,DL89TP1439,Hyundai,Creta,SYN_P_0143
VEH_0356,KA37GH5769,Toyota,City,SYN_P_0144
VEH_0357,TS08LQ1180,Hyundai,Nexon,SYN_P_0842
VEH_0358,KA21DE9789,Mahindra,Bolero,SYN_P_0141
VEH_0359,KA27EG6075,Mahindra,Seltos,SYN_P_0973
VEH_0360,UK78SJ4325,Honda,Innova,SYN_P_0940
VEH_0361,MH26AE8302,Maruti Suzuki,Seltos,SYN_P_0818
VEH_0362,WB32QK9043,Mahindra,Bolero,SYN_P_0081
VEH_0363,BR12JU8476,Tata,Innova,SYN_P_0610
VEH_0364,KA79ZF7800,Hyundai,Creta,SYN_P_0885
VEH_0365,TS50VF2565,Mahindra,Innova,SYN_P_0090
VEH_0366,RJ21IU9810,Tata,Innova,SYN_P_0137
VEH_0367,BR93XG9085,Mahindra,Seltos,SYN_P_0249
VEH_0368,GJ10YD9264,Kia,Seltos,SYN_P_0668
VEH_0369,KA58FI4397,Honda,Swift,SYN_P_0947
VEH_0370,DL10UW8567,Mahindra,Nexon,SYN_P_0818
VEH_0371,RJ51BA5105,Maruti Suzuki,Innova,SYN_P_0280
VEH_0372,GJ86XO8942,Mahindra,Swift,SYN_P_0170
VEH_0373,TN85HW8171,Hyundai,Bolero,SYN_P_0572
VEH_0374,UK22AT2646,Hyundai,Nexon,SYN_P_0255
VEH_0375,TN95MF2271,Toyota,Seltos,SYN_P_0023
VEH_0376,MP35EO6866,Hyundai,Creta,SYN_P_0071
VEH_0377,MP69GO1782,Kia,Innova,SYN_P_0211
VEH_0378,KA89JO1858,Honda,Swift,SYN_P_0100
VEH_0379,KA99GH7138,Hyundai,Creta,SYN_P_0188
VEH_0380,DL54AA6523,Kia,Creta,SYN_P_0130
VEH_0381,RJ13ZV3750,Toyota,Creta,SYN_P_0091
VEH_0382,KA66DK6286,Honda,Innova,SYN_P_0389
VEH_0383,WB27RM8010,Maruti Suzuki,Creta,SYN_P_0438
VEH_0384,UP46KF1245,Mahindra,Innova,SYN_P_0648
VEH_0385,DL50GO4606,Maruti Suzuki,Innova,SYN_P_0571
VEH_0386,MP80LB2103,Hyundai,Bolero,SYN_P_0618
VEH_0387,WB64DW9784,Kia,Seltos,SYN_P_0352
VEH_0388,MH13TK7366,Toyota,Seltos,SYN_P_0273
VEH_0389,GJ23UY6209,Kia,Innova,SYN_P_0988
VEH_0390,UP43AT8354,Mahindra,City,SYN_P_0477
VEH_0391,TN76WA4811,Maruti Suzuki,City,SYN_P_0255
VEH_0392,MH31XN4990,Honda,Swift,SYN_P_0123
VEH_0393,UK48PJ4309,Hyundai,Bolero,SYN_P_0419
VEH_0394,MP05HX8270,Toyota,Nexon,SYN_P_0275
VEH_0395,MH41UZ1648,Honda,Seltos,SYN_P_0850
VEH_0396,MP37YA4752,Kia,Innova,SYN_P_0679
VEH_0397,GJ32GR1885,Toyota,Creta,SYN_P_0456
VEH_0398,WB49QK4007,Mahindra,Innova,SYN_P_0013
VEH_0399,UP63CG1853,Toyota,Creta,SYN_P_0419
VEH_0400,UK12FS9992,Kia,Seltos,SYN_P_0419
VEH_0401,RJ65CN8652,Tata,Creta,SYN_P_0405
VEH_0402,RJ55FT5079,Tata,Nexon,SYN_P_0919
VEH_0403,MP26IZ8883,Maruti Suzuki,Nexon,SYN_P_0816
VEH_0404,KA22PO7925,Honda,City,SYN_P_0888
VEH_0405,UK62AY7249,Mahindra,Seltos,SYN_P_0171
VEH_0406,MH77RE3878,Tata,Bolero,SYN_P_0950
VEH_0407,MH59JM8878,Maruti Suzuki,Nexon,SYN_P_0280
VEH_0408,BR61GE4106,Maruti Suzuki,Swift,SYN_P_1026
VEH_0409,BR93LP7628,Mahindra,Bolero,SYN_P_0765
