vehicle_id,registration_number,make,model,owner_person_id,source
VEH_0183,UP97NZ7033,Honda,Creta,SYN_P_0890,synthetic
VEH_0184,MP55CB9410,Tata,Bolero,SYN_P_0460,synthetic
VEH_0185,MP88WE9115,Honda,Innova,SYN_P_0172,synthetic
VEH_0186,MH60NC8825,Tata,Creta,SYN_P_0262,synthetic
VEH_0187,MP39HQ8007,Tata,City,SYN_P_0098,synthetic
VEH_0188,TN10BQ2763,Honda,Bolero,SYN_P_0846,synthetic
VEH_0189,UP60VX5151,Tata,Nexon,SYN_P_0168,synthetic
VEH_0190,TN03DX8583,Hyundai,Seltos,SYN_P_0374,synthetic
VEH_0191,KA06CN5876,Tata,City,SYN_P_0932,synthetic
VEH_0192,MP58TZ5342,Tata,Seltos,SYN_P_0384,synthetic
VEH_0193,RJ24CX5248,Kia,Innova,SYN_P_0218,synthetic
VEH_0194,KA69AA7470,Maruti Suzuki,Swift,SYN_P_0352,synthetic
VEH_0195,MP62OW7637,Kia,Innova,SYN_P_0997,synthetic
VEH_0196,MH80TL7471,Kia,Nexon,SYN_P_0180,synthetic
VEH_0197,UK18AG2833,Kia,Swift,SYN_P_0386,synthetic
VEH_0198,DL27PU3378,Toyota,Creta,SYN_P_0893,synthetic
VEH_0199,MP69GC5930,Kia,Bolero,SYN_P_0304,synthetic
VEH_0200,TS55AD3721,Hyundai,Innova,SYN_P_0912,synthetic
VEH_0201,TS61AO4975,Hyundai,Nexon,SYN_P_0803,synthetic
VEH_0202,DL43AD8074,Mahindra,Seltos,SYN_P_1016,synthetic
VEH_0203,BR75TX5764,Maruti Suzuki,Bolero,SYN_P_0819,synthetic
VEH_0204,TS66SX8993,Hyundai,Innova,SYN_P_0125,synthetic
VEH_0205,TN03NS6174,Honda,Swift,SYN_P_0549,synthetic
VEH_0206,MP54PD9106,Honda,Innova,SYN_P_0711,synthetic
VEH_0207,TS90NA3643,Tata,Innova,SYN_P_0394,synthetic
VEH_0208,TS45OH9317,Hyundai,City,SYN_P_0695,synthetic
VEH_0209,WB92VO3148,Tata,Innova,SYN_P_0800,synthetic
VEH_0210,KA87UX6902,Kia,Bolero,SYN_P_0332,synthetic
VEH_0211,WB27JW2412,Toyota,Bolero,SYN_P_0265,synthetic
VEH_0212,UK26FT9063,Maruti Suzuki,Seltos,SYN_P_0852,synthetic
VEH_0213,TS39HG1770,Maruti Suzuki,Nexon,SYN_P_0535,synthetic
VEH_0214,GJ87FF9248,Maruti Suzuki,Seltos,SYN_P_0131,synthetic
VEH_0215,GJ56DT4714,Maruti Suzuki,City,SYN_P_0459,synthetic
VEH_0216,TS34KZ6820,Kia,Swift,SYN_P_0548,synthetic
VEH_0217,UK89QT2706,Toyota,Swift,SYN_P_0897,synthetic
VEH_0218,TS97DD2669,Kia,City,SYN_P_0086,synthetic
VEH_0219,TN14FU2934,Kia,Creta,SYN_P_0741,synthetic
VEH_0220,UK94JW8233,Kia,City,SYN_P_1021,synthetic
VEH_0221,BR13EU6959,Tata,Seltos,SYN_P_0283,synthetic
VEH_0222,UP26ON1107,Hyundai,Seltos,SYN_P_0971,synthetic
VEH_0223,GJ37QF2396,Tata,Nexon,SYN_P_0850,synthetic
VEH_0224,GJ81VH3483,Kia,Seltos,SYN_P_0864,synthetic
VEH_0225,RJ18ZN7773,Mahindra,Bolero,SYN_P_0741,synthetic
VEH_0226,DL57EY1162,Toyota,Seltos,SYN_P_0143,synthetic
VEH_0227,UP44KM3692,Mahindra,Swift,SYN_P_0806,synthetic
VEH_0228,DL85UE1947,Toyota,Innova,SYN_P_0606,synthetic
VEH_0229,KA52VW5986,Toyota,Innova,SYN_P_0643,synthetic
VEH_0230,GJ02IQ3406,Toyota,Bolero,SYN_P_0914,synthetic
VEH_0231,MP27RT8244,Toyota,Nexon,SYN_P_0829,synthetic
VEH_0232,RJ39CB9805,Tata,Bolero,SYN_P_0259,synthetic
VEH_0233,TN70JG2520,Honda,City,SYN_P_0640,synthetic
VEH_0234,TN44YU3621,Maruti Suzuki,Swift,SYN_P_0530,synthetic
VEH_0235,RJ39XN9278,Maruti Suzuki,Innova,SYN_P_0123,synthetic
VEH_0236,GJ34UQ6807,Maruti Suzuki,Swift,SYN_P_0256,synthetic
VEH_0237,TS39SX1085,Mahindra,Nexon,SYN_P_0484,synthetic
VEH_0238,BR75SW9737,Kia,City,SYN_P_0479,synthetic
VEH_0239,GJ39JV3293,Toyota,Bolero,SYN_P_0508,synthetic
VEH_0240,UP42QS4154,Kia,Seltos,SYN_P_0740,synthetic
VEH_0241,TS13EW7974,Kia,Bolero,SYN_P_0168,synthetic
VEH_0242,UP08NE8802,Hyundai,Bolero,SYN_P_0160,synthetic
VEH_0243,GJ87QM9502,Kia,Bolero,SYN_P_0541,synthetic
VEH_0244,WB64UN8210,Toyota,Bolero,SYN_P_0854,synthetic
VEH_0245,UK19QE8942,Toyota,Bolero,SYN_P_0265,synthetic
VEH_0246,BR66QD4483,Mahindra,Bolero,SYN_P_0067,synthetic
VEH_0247,BR21RL2945,Honda,Seltos,SYN_P_0837,synthetic
VEH_0248,UP16LS5744,Maruti Suzuki,City,SYN_P_0314,synthetic
VEH_0249,UP48JL5968,Tata,Bolero,SYN_P_0058,synthetic
VEH_0250,UK19ZS7910,Maruti Suzuki,Nexon,SYN_P_0581,synthetic
VEH_0251,RJ24XP1034,Maruti Suzuki,City,SYN_P_0715,synthetic
VEH_0252,UP06NP6074,Honda,Bolero,SYN_P_0692,synthetic
VEH_0253,KA61XT3175,Kia,Creta,SYN_P_1034,synthetic
VEH_0254,MP59YO8357,Hyundai,Seltos,SYN_P_0667,synthetic
VEH_0255,UP80VT7711,Mahindra,Creta,SYN_P_0810,synthetic
VEH_0256,GJ70BV8259,Toyota,Nexon,SYN_P_0182,synthetic
VEH_0257,UK91AS6060,Honda,Innova,SYN_P_0254,synthetic
VEH_0258,MP72CG9877,Honda,Seltos,SYN_P_0109,synthetic
VEH_0259,WB67GY8796,Honda,Swift,SYN_P_0247,synthetic
VEH_0260,MP69FA5504,Kia,Creta,SYN_P_0503,synthetic
VEH_0261,BR75OC9741,Honda,Nexon,SYN_P_0823,synthetic
VEH_0262,WB06PA6569,Mahindra,Creta,SYN_P_0850,synthetic
VEH_0263,DL68KM5213,Maruti Suzuki,Swift,SYN_P_0204,synthetic
VEH_0264,TN22JE3992,Tata,Seltos,SYN_P_0184,synthetic
VEH_0265,UK40NV3772,Maruti Suzuki,City,SYN_P_0667,synthetic
VEH_0266,UK04WB5882,Mahindra,Swift,SYN_P_0656,synthetic
VEH_0267,UK53KI7152,Kia,Swift,SYN_P_0107,synthetic
VEH_0268,RJ31YT4874,Mahindra,City,SYN_P_1034,synthetic
VEH_0269,KA15IB6215,Mahindra,City,SYN_P_0834,synthetic
VEH_0270,UP62AN4829,Maruti Suzuki,Nexon,SYN_P_0208,synthetic
VEH_0271,RJ98RU3057,Tata,City,SYN_P_0834,synthetic
VEH_0272,TS11UQ4333,Kia,Creta,SYN_P_0765,synthetic
VEH_0273,TN22ZH9806,Mahindra,City,SYN_P_0926,synthetic
VEH_0274,DL01OT5739,Toyota,Creta,SYN_P_0002,synthetic
VEH_0275,DL62IT5110,Kia,Innova,SYN_P_0779,synthetic
VEH_0276,GJ81GS9361,Tata,Swift,SYN_P_0331,synthetic
VEH_0277,BR69SC5925,Maruti Suzuki,Bolero,SYN_P_0252,synthetic
VEH_0278,UK93RI8077,Hyundai,City,SYN_P_1034,synthetic
VEH_0279,GJ88KU5282,Kia,Innova,SYN_P_0928,synthetic
VEH_0280,MH32VK6597,Hyundai,Bolero,SYN_P_0673,synthetic
VEH_0281,DL89EU1033,Honda,Bolero,SYN_P_0009,synthetic
VEH_0282,DL87FN9011,Kia,Bolero,SYN_P_0167,synthetic
VEH_0283,MP84CR1507,Kia,Seltos,SYN_P_0912,synthetic
VEH_0284,MP16LM6864,Mahindra,Creta,SYN_P_0018,synthetic
VEH_0285,UP60LG8283,Maruti Suzuki,Creta,SYN_P_0041,synthetic
VEH_0286,MH88WL4137,Maruti Suzuki,Seltos,SYN_P_0621,synthetic
VEH_0287,BR29HP6947,Maruti Suzuki,Nexon,SYN_P_1010,synthetic
VEH_0288,BR91TG1116,Hyundai,Seltos,SYN_P_0812,synthetic
VEH_0289,UP36SQ9093,Hyundai,City,SYN_P_0397,synthetic
VEH_0290,MP95SV3875,Maruti Suzuki,City,SYN_P_0263,synthetic
VEH_0291,BR09EI4734,Honda,Innova,SYN_P_0562,synthetic
VEH_0292,RJ87AW9731,Honda,Nexon,SYN_P_0930,synthetic
VEH_0293,DL55UV1849,Kia,Nexon,SYN_P_0886,synthetic
VEH_0294,KA36DV9491,Mahindra,Bolero,SYN_P_0741,synthetic
VEH_0295,TN98BX4678,Maruti Suzuki,Nexon,SYN_P_0861,synthetic
VEH_0296,TN58KA7420,Hyundai,Nexon,SYN_P_0168,synthetic
VEH_0297,WB04XH7943,Maruti Suzuki,Creta,SYN_P_0404,synthetic
VEH_0298,UK43JC2584,Maruti Suzuki,Bolero,SYN_P_0885,synthetic
VEH_0299,DL76ZU6477,Kia,Nexon,SYN_P_0507,synthetic
VEH_0300,UP61HK1891,Kia,Nexon,SYN_P_0485,synthetic
VEH_0301,UP77TO2567,Toyota,Bolero,SYN_P_0256,synthetic
VEH_0302,UP08BM6132,Kia,Innova,SYN_P_0134,synthetic
VEH_0303,UK08ZO1897,Tata,City,SYN_P_0885,synthetic
VEH_0304,UP14VB1855,Tata,Seltos,SYN_P_0782,synthetic
VEH_0305,KA13TY7735,Hyundai,Seltos,SYN_P_0022,synthetic
VEH_0306,TS50OZ8014,Honda,City,SYN_P_0208,synthetic
VEH_0307,GJ84VZ1425,Mahindra,City,SYN_P_0673,synthetic
VEH_0308,WB25DD1201,Honda,Innova,SYN_P_0139,synthetic
VEH_0309,WB25SE9337,Tata,Nexon,SYN_P_0863,synthetic
VEH_0310,TS93TO4046,Hyundai,Creta,SYN_P_0091,synthetic
VEH_0311,DL17JS8140,Honda,Innova,SYN_P_0733,synthetic
VEH_0312,MH75RY3385,Hyundai,Bolero,SYN_P_0633,synthetic
VEH_0313,WB44JL1132,Honda,City,SYN_P_0297,synthetic
VEH_0314,DL31QR1894,Mahindra,Nexon,SYN_P_0401,synthetic
VEH_0315,RJ82GZ2120,Tata,Creta,SYN_P_0975,synthetic
VEH_0316,BR89OT6425,Kia,City,SYN_P_0688,synthetic
VEH_0317,WB39NK3658,Maruti Suzuki,Bolero,SYN_P_0087,synthetic
VEH_0318,TS29AU4654,Toyota,Creta,SYN_P_0956,synthetic
VEH_0319,WB28HP6431,Kia,Innova,SYN_P_0770,synthetic
VEH_0320,RJ52FA6944,Maruti Suzuki,Swift,SYN_P_0733,synthetic
VEH_0321,DL72DE5760,Mahindra,Creta,SYN_P_0738,synthetic
VEH_0322,DL04GG5654,Hyundai,Creta,SYN_P_0537,synthetic
VEH_0323,BR23KR5029,Hyundai,Creta,SYN_P_0045,synthetic
VEH_0324,UK34DA3248,Mahindra,Innova,SYN_P_0228,synthetic
VEH_0325,GJ27JO4934,Tata,Seltos,SYN_P_0763,synthetic
VEH_0326,MP22QZ8106,Toyota,Swift,SYN_P_0243,synthetic
VEH_0327,UK17ZG4140,Honda,Bolero,SYN_P_0767,synthetic
VEH_0328,GJ77NU5006,Maruti Suzuki,Seltos,SYN_P_0388,synthetic
VEH_0329,TN38ZE6368,Hyundai,Swift,SYN_P_0574,synthetic
VEH_0330,UK66SP4428,Toyota,Swift,SYN_P_0964,synthetic
VEH_0331,MP79CF9333,Mahindra,Seltos,SYN_P_0767,synthetic
VEH_0332,TS67OF6272,Toyota,Nexon,SYN_P_0990,synthetic
VEH_0333,BR64PI7569,Toyota,Seltos,SYN_P_0075,synthetic
VEH_0334,RJ29GO4840,Mahindra,Creta,SYN_P_0627,synthetic
VEH_0335,KA49SF7129,Tata,City,SYN_P_0174,synthetic
VEH_0336,UK97CJ8282,Honda,Nexon,SYN_P_0472,synthetic
VEH_0337,WB06OQ6511,Mahindra,Bolero,SYN_P_0958,synthetic
VEH_0338,KA53LZ9151,Tata,Nexon,SYN_P_0784,synthetic
VEH_0339,DL23OH5351,Toyota,Swift,SYN_P_0736,synthetic
VEH_0340,UP38QQ9956,Toyota,Swift,SYN_P_0567,synthetic
VEH_0341,RJ13DC6902,Maruti Suzuki,City,SYN_P_0411,synthetic
VEH_0342,GJ26VK5096,Tata,Innova,SYN_P_0563,synthetic
VEH_0343,RJ91TE9898,Tata,Swift,SYN_P_0614,synthetic
VEH_0344,MH45ZM7647,Kia,City,SYN_P_0025,synthetic
VEH_0345,TS84QY3445,Kia,Bolero,SYN_P_0467,synthetic
VEH_0346,RJ93XG8773,Hyundai,City,SYN_P_0960,synthetic
VEH_0347,BR60KZ2406,Tata,Seltos,SYN_P_0385,synthetic
VEH_0348,KA99WN4433,Mahindra,Bolero,SYN_P_0062,synthetic
VEH_0349,GJ18SE6006,Toyota,Swift,SYN_P_1024,synthetic
VEH_0350,MP46KH7867,Mahindra,Innova,SYN_P_0827,synthetic
VEH_0351,BR69JK1380,Honda,Seltos,SYN_P_0066,synthetic
VEH_0352,UK20KS7404,Mahindra,Creta,SYN_P_0801,synthetic
VEH_0353,UP69MG8778,Maruti Suzuki,Nexon,SYN_P_0925,synthetic
VEH_0354,MP39CF2709,Toyota,City,SYN_P_0364,synthetic
VEH_0355,DL89TP1439,Hyundai,Creta,SYN_P_0143,synthetic
VEH_0356,KA37GH5769,Toyota,City,SYN_P_0144,synthetic
VEH_0357,TS08LQ1180,Hyundai,Nexon,SYN_P_0842,synthetic
