person_id,full_name,first_name,last_name,gender,city,state
SYN_P_0065,Rajiv Srivastava,Rajiv,Srivastava,Male,Nashik,Maharashtra
SYN_P_0066,Harini Naik,Harini,Naik,Female,Udaipur,Rajasthan
SYN_P_0067,Arjun Kumar,Arjun,Kumar,Male,Bhubaneswar,Odisha
SYN_P_0068,Nisha Agrawal,Nisha,Agrawal,Female,Thane,Maharashtra
SYN_P_0069,Akash Bedi,Akash,Bedi,Male,Kochi,Kerala
SYN_P_0070,Swati Mistry,Swati,Mistry,Female,Agra,Uttar Pradesh
SYN_P_0071,Shubham Thomas,Shubham,Thomas,Male,Guwahati,Assam
SYN_P_0072,Ritika Patel,Ritika,Patel,Female,Nagpur,Maharashtra
SYN_P_0073,Lokesh Jain,Lokesh,Jain,Male,Jodhpur,Rajasthan
SYN_P_0074,Ananya Mishra,Ananya,Mishra,Female,Kolkata,West Bengal
SYN_P_0075,Ankit Gowda,Ankit,Gowda,Male,Navi Mumbai,Maharashtra
SYN_P_0076,Muskan Thakur,Muskan,Thakur,Female,Coimbatore,Tamil Nadu
SYN_P_0077,Dhruv Rawat,Dhruv,Rawat,Male,Varanasi,Uttar Pradesh
SYN_P_0078,Divya Puri,Divya,Puri,Female,Visakhapatnam,Andhra Pradesh
SYN_P_0079,Rohit Mishra,Rohit,Mishra,Male,Pune,Maharashtra
SYN_P_0080,Garima George,Garima,George,Female,Jaipur,Rajasthan
SYN_P_0081,Varun Reddy,Varun,Reddy,Male,Ranchi,Jharkhand
SYN_P_0082,Meera Bansal,Meera,Bansal,Female,Jammu,Jammu and Kashmir
SYN_P_0083,Manish Pandey,Manish,Pandey,Male,Chennai,Tamil Nadu
SYN_P_0084,Mahi Pillai,Mahi,Pillai,Female,Ghaziabad,Uttar Pradesh
SYN_P_0085,Pranav Rathore,Pranav,Rathore,Male,Vijayawada,Andhra Pradesh
SYN_P_0086,Bhavna Negi,Bhavna,Negi,Female,Mumbai,Maharashtra
SYN_P_0087,Arnav Bhatia,Arnav,Bhatia,Male,Vadodara,Gujarat
SYN_P_0088,Lakshmi Sengupta,Lakshmi,Sengupta,Female,Patna,Bihar
SYN_P_0089,Rohan Joseph,Rohan,Joseph,Male,Srinagar,Jammu and Kashmir
SYN_P_0090,Shreya Nair,Shreya,Nair,Female,Hyderabad,Telangana
SYN_P_0091,Yash Kapoor,Yash,Kapoor,Male,Noida,Uttar Pradesh
SYN_P_0092,Komal Kulkarni,Komal,Kulkarni,Female,Raipur,Chhattisgarh
SYN_P_0093,Rishabh Banerjee,Rishabh,Banerjee,Male,Delhi,Delhi
SYN_P_0094,Pallavi Vora,Pallavi,Vora,Female,Surat,Gujarat
SYN_P_0095,Mayank Dixit,Mayank,Dixit,Male,Chandigarh,Chandigarh
SYN_P_0096,Priya Madan,Priya,Madan,Female,Ludhiana,Punjab
SYN_P_0097,Amit Roy,Amit,Roy,Male,Mysuru,Karnataka
SYN_P_0098,Tanya Verma,Tanya,Verma,Female,Kanpur,Uttar Pradesh
SYN_P_0099,Kabir Bose,Kabir,Bose,Male,Bhopal,Madhya Pradesh
SYN_P_0100,Shruti Arora,Shruti,Arora,Female,Meerut,Uttar Pradesh
SYN_P_0101,Sachin Jadhav,Sachin,Jadhav,Male,Ahmedabad,Gujarat
SYN_P_0102,Kirti Sarkar,Kirti,Sarkar,Female,Haldwani,Uttarakhand
SYN_P_0103,Aarav Dubey,Aarav,Dubey,Male,Amritsar,Punjab
SYN_P_0104,Riya Rana,Riya,Rana,Female,Bengaluru,Karnataka
SYN_P_0105,Rajat Kohli,Rajat,Kohli,Male,Lucknow,Uttar Pradesh
SYN_P_0106,Navya Fernandes,Navya,Fernandes,Female,Indore,Madhya Pradesh
SYN_P_0107,Tushar Gupta,Tushar,Gupta,Male,Kota,Rajasthan
SYN_P_0108,Kritika Chatterjee,Kritika,Chatterjee,Female,Thiruvananthapuram,Kerala
SYN_P_0109,Atharv Srivastava,Atharv,Srivastava,Male,Dehradun,Uttarakhand
SYN_P_0110,Snehal Naik,Snehal,Naik,Female,Gurugram,Haryana
SYN_P_0111,Rahul Kumar,Rahul,Kumar,Male,Nashik,Maharashtra
SYN_P_0112,Aditi Agrawal,Aditi,Agrawal,Female,Udaipur,Rajasthan
SYN_P_0113,Ayush Bedi,Ayush,Bedi,Male,Bhubaneswar,Odisha
SYN_P_0114,Nandini Mistry,Nandini,Mistry,Female,Thane,Maharashtra
SYN_P_0115,Naveen Thomas,Naveen,Thomas,Male,Kochi,Kerala
SYN_P_0116,Jyoti Patel,Jyoti,Patel,Female,Agra,Uttar Pradesh
SYN_P_0117,Parth Jain,Parth,Jain,Male,Guwahati,Assam
SYN_P_0118,Neha Mishra,Neha,Mishra,Female,Nagpur,Maharashtra
SYN_P_0119,Nikhil Gowda,Nikhil,Gowda,Male,Jodhpur,Rajasthan
SYN_P_0120,Diya Thakur,Diya,Thakur,Female,Kolkata,West Bengal
SYN_P_0121,Ishaan Rawat,Ishaan,Rawat,Male,Navi Mumbai,Maharashtra
SYN_P_0122,Tanvi Puri,Tanvi,Puri,Female,Coimbatore,Tamil Nadu
SYN_P_0123,Deepak Mishra,Deepak,Mishra,Male,Varanasi,Uttar Pradesh
SYN_P_0124,Manvi George,Manvi,George,Female,Visakhapatnam,Andhra Pradesh
SYN_P_0125,Vihaan Arora,Vihaan,Arora,Male,Pune,Maharashtra
SYN_P_0126,Pooja Bansal,Pooja,Bansal,Female,Jaipur,Rajasthan
SYN_P_0127,Mohit Pandey,Mohit,Pandey,Male,Ranchi,Jharkhand
SYN_P_0128,Anjali Pillai,Anjali,Pillai,Female,Jammu,Jammu and Kashmir
SYN_P_0129,Vivek Rathore,Vivek,Rathore,Male,Chennai,Tamil Nadu
SYN_P_0130,Sanya Negi,Sanya,Negi,Female,Ghaziabad,Uttar Pradesh
SYN_P_0131,Shivam Bhatia,Shivam,Bhatia,Male,Vijayawada,Andhra Pradesh
SYN_P_0132,Trisha Sengupta,Trisha,Sengupta,Female,Mumbai,Maharashtra
SYN_P_0133,Vikram Joseph,Vikram,Joseph,Male,Vadodara,Gujarat
SYN_P_0134,Simran Nair,Simran,Nair,Female,Patna,Bihar
SYN_P_0135,Harsh Kapoor,Harsh,Kapoor,Male,Srinagar,Jammu and Kashmir
SYN_P_0136,Payal Kulkarni,Payal,Kulkarni,Female,Hyderabad,Telangana
SYN_P_0137,Piyush Banerjee,Piyush,Banerjee,Male,Noida,Uttar Pradesh
SYN_P_0138,Preeti Vora,Preeti,Vora,Female,Raipur,Chhattisgarh
SYN_P_0139,Nitin Dixit,Nitin,Dixit,Male,Delhi,Delhi
SYN_P_0140,Kavya Madan,Kavya,Madan,Female,Surat,Gujarat
SYN_P_0141,Siddharth Roy,Siddharth,Roy,Male,Chandigarh,Chandigarh
SYN_P_0142,Avni Sharma,Avni,Sharma,Female,Ludhiana,Punjab
SYN_P_0143,Kunal Menon,Kunal,Menon,Male,Mysuru,Karnataka
SYN_P_0144,Palak Sethi,Palak,Sethi,Female,Kanpur,Uttar Pradesh
SYN_P_0145,Sanjay Pawar,Sanjay,Pawar,Male,Bhopal,Madhya Pradesh
SYN_P_0146,Vanshika Dutta,Vanshika,Dutta,Female,Meerut,Uttar Pradesh
SYN_P_0147,Aditya Trivedi,Aditya,Trivedi,Male,Ahmedabad,Gujarat
SYN_P_0148,Sneha Prasad,Sneha,Prasad,Female,Haldwani,Uttarakhand
SYN_P_0149,Abhishek Bhardwaj,Abhishek,Bhardwaj,Male,Amritsar,Punjab
SYN_P_0150,Radhika Karmakar,Radhika,Karmakar,Female,Bengaluru,Karnataka
SYN_P_0151,Gaurav Singh,Gaurav,Singh,Male,Lucknow,Uttar Pradesh
SYN_P_0152,Srishti Das,Srishti,Das,Female,Indore,Madhya Pradesh
SYN_P_0153,Tarun Saxena,Tarun,Saxena,Male,Kota,Rajasthan
SYN_P_0154,Aanya Patil,Aanya,Patil,Female,Thiruvananthapuram,Kerala
SYN_P_0155,Karan Sinha,Karan,Sinha,Male,Dehradun,Uttarakhand
SYN_P_0156,Sakshi Shukla,Sakshi,Shukla,Female,Gurugram,Haryana
SYN_P_0157,Dev Khatri,Dev,Khatri,Male,Nashik,Maharashtra
SYN_P_0158,Sonali Suri,Sonali,Suri,Female,Udaipur,Rajasthan
SYN_P_0159,Sameer D'Souza,Sameer,D'Souza,Male,Bhubaneswar,Odisha
SYN_P_0160,Monika Mehta,Monika,Mehta,Female,Thane,Maharashtra
SYN_P_0161,Ujjwal Mukherjee,Ujjwal,Mukherjee,Male,Kochi,Kerala
SYN_P_0162,Isha Tiwari,Isha,Tiwari,Female,Agra,Uttar Pradesh
SYN_P_0163,Varun Shetty,Varun,Shetty,Male,Guwahati,Assam
SYN_P_0164,Ishita Yadav,Ishita,Yadav,Female,Nagpur,Maharashtra
SYN_P_0165,Saurabh Choudhary,Saurabh,Choudhary,Male,Jodhpur,Rajasthan
SYN_P_0166,Apoorva Oberoi,Apoorva,Oberoi,Female,Kolkata,West Bengal
SYN_P_0167,Rajiv Lal,Rajiv,Lal,Male,Navi Mumbai,Maharashtra
SYN_P_0168,Harini Varghese,Harini,Varghese,Female,Coimbatore,Tamil Nadu
SYN_P_0169,Arjun Shah,Arjun,Shah,Male,Varanasi,Uttar Pradesh
SYN_P_0170,Nisha Agarwal,Nisha,Agarwal,Female,Visakhapatnam,Andhra Pradesh
SYN_P_0171,Akash Tripathi,Akash,Tripathi,Male,Pune,Maharashtra
SYN_P_0172,Swati Hegde,Swati,Hegde,Female,Jaipur,Rajasthan
SYN_P_0173,Shubham Chauhan,Shubham,Chauhan,Male,Ranchi,Jharkhand
SYN_P_0174,Ritika Bisht,Ritika,Bisht,Female,Jammu,Jammu and Kashmir
SYN_P_0175,Lokesh Ahuja,Lokesh,Ahuja,Male,Chennai,Tamil Nadu
SYN_P_0176,Ananya Ranjan,Ananya,Ranjan,Female,Ghaziabad,Uttar Pradesh
SYN_P_0177,Ankit Mathew,Ankit,Mathew,Male,Vijayawada,Andhra Pradesh
SYN_P_0178,Muskan Rao,Muskan,Rao,Female,Mumbai,Maharashtra
SYN_P_0179,Dhruv Malhotra,Dhruv,Malhotra,Male,Vadodara,Gujarat
SYN_P_0180,Divya Joshi,Divya,Joshi,Female,Patna,Bihar
SYN_P_0181,Rohit Krishnan,Rohit,Krishnan,Male,Srinagar,Jammu and Kashmir
SYN_P_0182,Garima Solanki,Garima,Solanki,Female,Hyderabad,Telangana
SYN_P_0183,Varun Bhat,Varun,Bhat,Male,Noida,Uttar Pradesh
SYN_P_0184,Meera Wadhwa,Meera,Wadhwa,Female,Raipur,Chhattisgarh
SYN_P_0185,Manish Bhattacharya,Manish,Bhattacharya,Male,Delhi,Delhi
SYN_P_0186,Mahi Abraham,Mahi,Abraham,Female,Surat,Gujarat
SYN_P_0187,Pranav Iyer,Pranav,Iyer,Male,Chandigarh,Chandigarh
SYN_P_0188,Bhavna Khanna,Bhavna,Khanna,Female,Ludhiana,Punjab
SYN_P_0189,Arnav Deshmukh,Arnav,Deshmukh,Male,Mysuru,Karnataka
SYN_P_0190,Lakshmi Ghosh,Lakshmi,Ghosh,Female,Kanpur,Uttar Pradesh
SYN_P_0191,Rohan Desai,Rohan,Desai,Male,Bhopal,Madhya Pradesh
SYN_P_0192,Shreya Mandal,Shreya,Mandal,Female,Meerut,Uttar Pradesh
SYN_P_0193,Yash Chopra,Yash,Chopra,Male,Ahmedabad,Gujarat
SYN_P_0194,Komal Saha,Komal,Saha,Female,Haldwani,Uttarakhand
SYN_P_0195,Rishabh Singh,Rishabh,Singh,Male,Amritsar,Punjab
SYN_P_0196,Pallavi Das,Pallavi,Das,Female,Bengaluru,Karnataka
SYN_P_0197,Mayank Saxena,Mayank,Saxena,Male,Lucknow,Uttar Pradesh
SYN_P_0198,Priya Patil,Priya,Patil,Female,Indore,Madhya Pradesh
SYN_P_0199,Amit Sinha,Amit,Sinha,Male,Kota,Rajasthan
SYN_P_0200,Tanya Shukla,Tanya,Shukla,Female,Thiruvananthapuram,Kerala
SYN_P_0201,Kabir Khatri,Kabir,Khatri,Male,Dehradun,Uttarakhand
SYN_P_0202,Shruti Suri,Shruti,Suri,Female,Gurugram,Haryana
SYN_P_0203,Sachin D'Souza,Sachin,D'Souza,Male,Nashik,Maharashtra
SYN_P_0204,Kirti Mehta,Kirti,Mehta,Female,Udaipur,Rajasthan
SYN_P_0205,Aarav Mukherjee,Aarav,Mukherjee,Male,Bhubaneswar,Odisha
SYN_P_0206,Riya Tiwari,Riya,Tiwari,Female,Thane,Maharashtra
SYN_P_0207,Rajat Shetty,Rajat,Shetty,Male,Kochi,Kerala
SYN_P_0208,Navya Yadav,Navya,Yadav,Female,Agra,Uttar Pradesh
SYN_P_0209,Tushar Choudhary,Tushar,Choudhary,Male,Guwahati,Assam
SYN_P_0210,Kritika Oberoi,Kritika,Oberoi,Female,Nagpur,Maharashtra
SYN_P_0211,Atharv Lal,Atharv,Lal,Male,Jodhpur,Rajasthan
SYN_P_0212,Snehal Varghese,Snehal,Varghese,Female,Kolkata,West Bengal
SYN_P_0213,Rahul Shah,Rahul,Shah,Male,Navi Mumbai,Maharashtra
SYN_P_0214,Aditi Agarwal,Aditi,Agarwal,Female,Coimbatore,Tamil Nadu
SYN_P_0215,Ayush Tripathi,Ayush,Tripathi,Male,Varanasi,Uttar Pradesh
SYN_P_0216,Nandini Hegde,Nandini,Hegde,Female,Visakhapatnam,Andhra Pradesh
SYN_P_0217,Naveen Chauhan,Naveen,Chauhan,Male,Pune,Maharashtra
SYN_P_0218,Jyoti Bisht,Jyoti,Bisht,Female,Jaipur,Rajasthan
SYN_P_0219,Parth Ahuja,Parth,Ahuja,Male,Ranchi,Jharkhand
SYN_P_0220,Neha Ranjan,Neha,Ranjan,Female,Jammu,Jammu and Kashmir
SYN_P_0221,Nikhil Mathew,Nikhil,Mathew,Male,Chennai,Tamil Nadu
SYN_P_0222,Diya Rao,Diya,Rao,Female,Ghaziabad,Uttar Pradesh
SYN_P_0223,Ishaan Malhotra,Ishaan,Malhotra,Male,Vijayawada,Andhra Pradesh
SYN_P_0224,Tanvi Joshi,Tanvi,Joshi,Female,Mumbai,Maharashtra
SYN_P_0225,Deepak Krishnan,Deepak,Krishnan,Male,Vadodara,Gujarat
SYN_P_0226,Manvi Solanki,Manvi,Solanki,Female,Patna,Bihar
SYN_P_0227,Vihaan Bhat,Vihaan,Bhat,Male,Srinagar,Jammu and Kashmir
SYN_P_0228,Pooja Wadhwa,Pooja,Wadhwa,Female,Hyderabad,Telangana
SYN_P_0229,Mohit Bhattacharya,Mohit,Bhattacharya,Male,Noida,Uttar Pradesh
SYN_P_0230,Anjali Abraham,Anjali,Abraham,Female,Raipur,Chhattisgarh
SYN_P_0231,Vivek Iyer,Vivek,Iyer,Male,Delhi,Delhi
SYN_P_0232,Sanya Khanna,Sanya,Khanna,Female,Surat,Gujarat
SYN_P_0233,Shivam Deshmukh,Shivam,Deshmukh,Male,Chandigarh,Chandigarh
SYN_P_0234,Trisha Ghosh,Trisha,Ghosh,Female,Ludhiana,Punjab
SYN_P_0235,Vikram Desai,Vikram,Desai,Male,Mysuru,Karnataka
SYN_P_0236,Simran Mandal,Simran,Mandal,Female,Kanpur,Uttar Pradesh
SYN_P_0237,Harsh Chopra,Harsh,Chopra,Male,Bhopal,Madhya Pradesh
SYN_P_0238,Payal Saha,Payal,Saha,Female,Meerut,Uttar Pradesh
SYN_P_0239,Piyush Verma,Piyush,Verma,Male,Ahmedabad,Gujarat
SYN_P_0240,Preeti Bose,Preeti,Bose,Female,Haldwani,Uttarakhand
SYN_P_0241,Nitin Arora,Nitin,Arora,Male,Amritsar,Punjab
SYN_P_0242,Kavya Jadhav,Kavya,Jadhav,Female,Bengaluru,Karnataka
SYN_P_0243,Siddharth Sarkar,Siddharth,Sarkar,Male,Lucknow,Uttar Pradesh
SYN_P_0244,Avni Dubey,Avni,Dubey,Female,Indore,Madhya Pradesh
SYN_P_0245,Kunal Rana,Kunal,Rana,Male,Kota,Rajasthan
SYN_P_0246,Palak Kohli,Palak,Kohli,Female,Thiruvananthapuram,Kerala
SYN_P_0247,Sanjay Fernandes,Sanjay,Fernandes,Male,Dehradun,Uttarakhand
SYN_P_0248,Vanshika Gupta,Vanshika,Gupta,Female,Gurugram,Haryana
SYN_P_0249,Aditya Chatterjee,Aditya,Chatterjee,Male,Nashik,Maharashtra
SYN_P_0250,Sneha Srivastava,Sneha,Srivastava,Female,Udaipur,Rajasthan
SYN_P_0251,Abhishek Naik,Abhishek,Naik,Male,Bhubaneswar,Odisha
SYN_P_0252,Radhika Kumar,Radhika,Kumar,Female,Thane,Maharashtra
SYN_P_0253,Gaurav Agrawal,Gaurav,Agrawal,Male,Kochi,Kerala
SYN_P_0254,Srishti Bedi,Srishti,Bedi,Female,Agra,Uttar Pradesh
SYN_P_0255,Tarun Mistry,Tarun,Mistry,Male,Guwahati,Assam
SYN_P_0256,Aanya Thomas,Aanya,Thomas,Female,Nagpur,Maharashtra
SYN_P_0257,Karan Kapoor,Karan,Kapoor,Male,Jodhpur,Rajasthan
SYN_P_0258,Sakshi Jain,Sakshi,Jain,Female,Kolkata,West Bengal
SYN_P_0259,Dev Mishra,Dev,Mishra,Male,Navi Mumbai,Maharashtra
SYN_P_0260,Sonali Gowda,Sonali,Gowda,Female,Coimbatore,Tamil Nadu
SYN_P_0261,Sameer Thakur,Sameer,Thakur,Male,Varanasi,Uttar Pradesh
SYN_P_0262,Monika Rawat,Monika,Rawat,Female,Visakhapatnam,Andhra Pradesh
SYN_P_0263,Ujjwal Puri,Ujjwal,Puri,Male,Pune,Maharashtra
SYN_P_0264,Isha Mishra,Isha,Mishra,Female,Jaipur,Rajasthan
SYN_P_0265,Varun George,Varun,George,Male,Ranchi,Jharkhand
SYN_P_0266,Ishita Reddy,Ishita,Reddy,Female,Jammu,Jammu and Kashmir
SYN_P_0267,Saurabh Bansal,Saurabh,Bansal,Male,Chennai,Tamil Nadu
SYN_P_0268,Apoorva Pandey,Apoorva,Pandey,Female,Ghaziabad,Uttar Pradesh
SYN_P_0269,Rajiv Pillai,Rajiv,Pillai,Male,Vijayawada,Andhra Pradesh
SYN_P_0270,Harini Rathore,Harini,Rathore,Female,Mumbai,Maharashtra
SYN_P_0271,Arjun Negi,Arjun,Negi,Male,Vadodara,Gujarat
SYN_P_0272,Nisha Bhatia,Nisha,Bhatia,Female,Patna,Bihar
SYN_P_0273,Akash Sengupta,Akash,Sengupta,Male,Srinagar,Jammu and Kashmir
SYN_P_0274,Swati Joseph,Swati,Joseph,Female,Hyderabad,Telangana
SYN_P_0275,Shubham Nair,Shubham,Nair,Male,Noida,Uttar Pradesh
SYN_P_0276,Ritika Kapoor,Ritika,Kapoor,Female,Raipur,Chhattisgarh
SYN_P_0277,Lokesh Kulkarni,Lokesh,Kulkarni,Male,Delhi,Delhi
SYN_P_0278,Ananya Banerjee,Ananya,Banerjee,Female,Surat,Gujarat
SYN_P_0279,Ankit Vora,Ankit,Vora,Male,Chandigarh,Chandigarh
SYN_P_0280,Muskan Dixit,Muskan,Dixit,Female,Ludhiana,Punjab
SYN_P_0281,Dhruv Madan,Dhruv,Madan,Male,Mysuru,Karnataka
SYN_P_0282,Divya Roy,Divya,Roy,Female,Kanpur,Uttar Pradesh
SYN_P_0283,Rohit Sharma,Rohit,Sharma,Male,Bhopal,Madhya Pradesh
SYN_P_0284,Garima Menon,Garima,Menon,Female,Meerut,Uttar Pradesh
SYN_P_0285,Varun Sethi,Varun,Sethi,Male,Ahmedabad,Gujarat
SYN_P_0286,Meera Pawar,Meera,Pawar,Female,Haldwani,Uttarakhand
SYN_P_0287,Manish Dutta,Manish,Dutta,Male,Amritsar,Punjab
SYN_P_0288,Mahi Trivedi,Mahi,Trivedi,Female,Bengaluru,Karnataka
SYN_P_0289,Pranav Prasad,Pranav,Prasad,Male,Lucknow,Uttar Pradesh
SYN_P_0290,Bhavna Bhardwaj,Bhavna,Bhardwaj,Female,Indore,Madhya Pradesh
SYN_P_0291,Arnav Karmakar,Arnav,Karmakar,Male,Kota,Rajasthan
SYN_P_0292,Lakshmi Gupta,Lakshmi,Gupta,Female,Thiruvananthapuram,Kerala
SYN_P_0293,Rohan Chatterjee,Rohan,Chatterjee,Male,Dehradun,Uttarakhand
SYN_P_0294,Shreya Srivastava,Shreya,Srivastava,Female,Gurugram,Haryana
SYN_P_0295,Yash Naik,Yash,Naik,Male,Nashik,Maharashtra
SYN_P_0296,Komal Kumar,Komal,Kumar,Female,Udaipur,Rajasthan
SYN_P_0297,Rishabh Agrawal,Rishabh,Agrawal,Male,Bhubaneswar,Odisha
SYN_P_0298,Pallavi Bedi,Pallavi,Bedi,Female,Thane,Maharashtra
SYN_P_0299,Mayank Mistry,Mayank,Mistry,Male,Kochi,Kerala
SYN_P_0300,Priya Thomas,Priya,Thomas,Female,Agra,Uttar Pradesh
SYN_P_0301,Amit Patel,Amit,Patel,Male,Guwahati,Assam
SYN_P_0302,Tanya Jain,Tanya,Jain,Female,Nagpur,Maharashtra
SYN_P_0303,Kabir Mishra,Kabir,Mishra,Male,Jodhpur,Rajasthan
SYN_P_0304,Shruti Gowda,Shruti,Gowda,Female,Kolkata,West Bengal
SYN_P_0305,Sachin Thakur,Sachin,Thakur,Male,Navi Mumbai,Maharashtra
SYN_P_0306,Kirti Rawat,Kirti,Rawat,Female,Coimbatore,Tamil Nadu
SYN_P_0307,Aarav Puri,Aarav,Puri,Male,Varanasi,Uttar Pradesh
SYN_P_0308,Riya Mishra,Riya,Mishra,Female,Visakhapatnam,Andhra Pradesh
SYN_P_0309,Rajat George,Rajat,George,Male,Pune,Maharashtra
SYN_P_0310,Navya Reddy,Navya,Reddy,Female,Jaipur,Rajasthan
SYN_P_0311,Tushar Bansal,Tushar,Bansal,Male,Ranchi,Jharkhand
SYN_P_0312,Kritika Pandey,Kritika,Pandey,Female,Jammu,Jammu and Kashmir
